scenario,substrate_config,substrate_fraction,revassim_rate,region,year_260_slavic_share_mean,year_260_slavic_share_sd,year_260_pop_mean,run_count
slavic1,cbi_only,0.20,0.030,Peloponnese,0.004546,0.014374,80.90,10
slavic1,cbi_only,0.20,0.030,Albanian Highlands,0.000000,0.000000,234.60,10
slavic1,cbi_only,0.20,0.030,Adriatic Coastal,0.000000,0.000000,160.00,10
slavic1,cbi_only,0.20,0.030,Lower Danubian Frontier,0.852092,0.079708,674.50,10
slavic1,cbi_only,0.20,0.030,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.20,0.045,Carpatho-Balkan Interior,0.027224,0.027371,2243.20,10
slavic1,cbi_only,0.20,0.045,Pannonian Plain,0.263648,0.221810,474.00,10
slavic1,cbi_only,0.20,0.045,Aegean Littoral,0.000000,0.000000,774.70,10
slavic1,cbi_only,0.20,0.045,Peloponnese,0.000000,0.000000,97.80,10
slavic1,cbi_only,0.20,0.045,Albanian Highlands,0.000000,0.000000,240.60,10
slavic1,cbi_only,0.20,0.045,Adriatic Coastal,0.000000,0.000000,169.20,10
slavic1,cbi_only,0.20,0.045,Lower Danubian Frontier,0.793627,0.091392,622.80,10
slavic1,cbi_only,0.20,0.045,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.30,0.000,Carpatho-Balkan Interior,0.630764,0.098186,2593.50,10
slavic1,cbi_only,0.30,0.000,Pannonian Plain,0.550741,0.159953,419.90,10
slavic1,cbi_only,0.30,0.000,Aegean Littoral,0.345234,0.106008,833.80,10
slavic1,cbi_only,0.30,0.000,Peloponnese,0.277288,0.282758,94.70,10
slavic1,cbi_only,0.30,0.000,Albanian Highlands,0.607085,0.219157,304.60,10
slavic1,cbi_only,0.30,0.000,Adriatic Coastal,0.431690,0.255569,182.40,10
slavic1,cbi_only,0.30,0.000,Lower Danubian Frontier,0.895061,0.037583,735.20,10
slavic1,cbi_only,0.30,0.000,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.30,0.005,Carpatho-Balkan Interior,0.477658,0.056528,2320.90,10
slavic1,cbi_only,0.30,0.005,Pannonian Plain,0.472533,0.264258,551.10,10
slavic1,cbi_only,0.30,0.005,Aegean Littoral,0.128751,0.074107,916.00,10
slavic1,cbi_only,0.30,0.005,Peloponnese,0.073404,0.076515,136.00,10
slavic1,cbi_only,0.30,0.005,Albanian Highlands,0.318125,0.202520,232.20,10
slavic1,cbi_only,0.30,0.005,Adriatic Coastal,0.185186,0.195511,206.10,10
slavic1,cbi_only,0.30,0.005,Lower Danubian Frontier,0.898999,0.045522,728.40,10
slavic1,cbi_only,0.30,0.005,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.30,0.015,Carpatho-Balkan Interior,0.230215,0.089648,2197.40,10
slavic1,cbi_only,0.30,0.015,Pannonian Plain,0.384673,0.238452,498.80,10
slavic1,cbi_only,0.30,0.015,Aegean Littoral,0.022108,0.011413,776.30,10
slavic1,cbi_only,0.30,0.015,Peloponnese,0.003520,0.007421,126.20,10
slavic1,cbi_only,0.30,0.015,Albanian Highlands,0.024123,0.019167,260.90,10
slavic1,cbi_only,0.30,0.015,Adriatic Coastal,0.022711,0.033726,206.50,10
slavic1,cbi_only,0.30,0.015,Lower Danubian Frontier,0.893319,0.051699,693.60,10
slavic1,cbi_only,0.30,0.015,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.30,0.030,Carpatho-Balkan Interior,0.150775,0.068689,2387.30,10
slavic1,cbi_only,0.30,0.030,Pannonian Plain,0.217813,0.237781,431.10,10
slavic1,cbi_only,0.30,0.030,Aegean Littoral,0.000751,0.001633,849.50,10
slavic1,cbi_only,0.30,0.030,Peloponnese,0.000000,0.000000,71.70,10
slavic1,cbi_only,0.30,0.030,Albanian Highlands,0.002527,0.005331,248.70,10
slavic1,cbi_only,0.30,0.030,Adriatic Coastal,0.000000,0.000000,201.90,10
slavic1,cbi_only,0.30,0.030,Lower Danubian Frontier,0.813218,0.111132,594.70,10
slavic1,cbi_only,0.30,0.030,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.30,0.045,Carpatho-Balkan Interior,0.107560,0.051226,2458.40,10
slavic1,cbi_only,0.30,0.045,Pannonian Plain,0.258760,0.290104,415.80,10
slavic1,cbi_only,0.30,0.045,Aegean Littoral,0.000816,0.002201,845.70,10
slavic1,cbi_only,0.30,0.045,Peloponnese,0.000000,0.000000,116.50,10
